00:06:66:72:0a:56,33.4439267,-111.8401283,-99
00:06:66:83:26:30,33.5816983,-111.9266033,-88
00:06:66:83:20:34,33.6401217,-111.96031,-76
00:06:66:6b:59:6b,32.9515299,-117.0628865,-76
00:06:66:79:b2:23,32.7227083333333,-117.164171666667,-88
6b:52:7c:4e:8f:ef,33.4070783,-112.099275,-90
00:06:66:83:24:7c,33.3487756,-111.9116384,-80
00:06:66:64:93:73,32.9523,-117.0607834,-70
20:17:11:20:69:41,33.640153,-112.0176354,-83
00:06:66:7c:9a:61,33.519929,-117.6670483,-75
11:22:33:35:52:bf,39.0229904,-76.4713426,-94
00:06:66:7c:9a:65,38.6609375,-121.32714,-69
20:18:08:27:06:56,33.348651,-111.9118273,-67
00:06:66:7a:f9:01,32.7496476,-117.1686555,-55
00:06:66:83:1f:f8,33.58246,-111.9264283,-80
20:13:04:25:02:79,32.7025143,-117.093524,-37
00:06:66:6c:72:3c,32.808729,-117.1165463,-74
00:06:66:83:1e:77,33.3776333,-112.072945,-86
00:06:66:79:d9:7d,32.5941784,-117.0638279,-77
00:06:66:72:4f:3e,32.808743,-117.1166727,-87
00:06:66:64:c1:96,32.8062767,-117.2184888,-80
00:06:66:e5:85:47,32.8007958,-117.2357223,-82
00:06:66:a0:49:6f,38.6492544,-121.2915612,-73
00:06:66:6c:64:fb,32.7747256,-117.2063827,20
00:06:66:0d:8a:6c,37.7984983,-78.49492,-73
94:05:6f:a7:b3:cd,32.9571304,-117.1523294,-85
00:06:66:8c:60:6f,38.9870872,-76.7578225,-91
00:06:66:83:27:01,33.6402117,-111.9603117,-74
00:06:66:69:40:4c,33.018356,-117.0606766,-90
6b:52:7c:4e:99:91,32.8710496,-117.2338016,-93
00:06:66:e5:9e:0c,32.800669,-117.235643,-82
00:06:66:e5:9e:77,32.8008455,-117.2356629,-86
00:06:66:77:10:c0,32.5942149,-117.0638162,-87
00:06:66:64:94:a4,32.805595,-117.21876,-91
00:06:66:e5:9e:73,32.8008385,-117.2356615,-74
6b:52:7c:4e:94:c8,33.4069733,-112.09915,-99
00:06:66:72:25:a2,32.8087152,-117.1165465,-98
11:22:33:a2:3d:cc,38.6608671,-121.3270073,-76
20:18:01:03:09:45,38.984722,-76.5564265,-93
00:06:66:69:3e:8b,32.9520269,-117.0629091,-95
00:06:66:79:b2:17,32.72268,-117.16415,-89
20:18:01:15:91:22,38.984865,-76.5564045,-90
00:06:66:7c:9a:74,38.6610255,-121.3271893,-84
00:06:66:75:32:5b,32.9563268,-117.0367364,-86
00:06:66:64:c1:52,32.8343071,-117.195403,-93
09:f0:f0:54:78:94,33.1522774,-117.335449,-78
00:06:66:64:b9:de,37.38448,-121.962525,-95
00:06:66:79:e8:38,32.5942161,-117.0638359,-81
00:06:66:61:1b:b0,33.430819,-117.6153466,-70
00:06:66:e5:9e:08,32.8008023,-117.2357075,-61
00:06:66:83:26:95,33.4420479,-112.5560681,-80
00:06:66:75:0f:43,33.4219762,-111.9087068,-93
66:35:56:78:90:ab,36.9188,-111.4597383,-87
00:06:66:43:42:14,33.4509517,-111.8315317,-96
20:18:08:27:06:39,33.3488544,-111.9116422,-68
00:06:66:e5:aa:96,32.8008131,-117.2357066,-66
00:06:66:f3:98:37,33.3487328,-111.911699,-74
00:06:66:e5:9d:82,32.8007604,-117.2354703,-76
00:06:66:89:0c:71,33.1290666,-117.0886461,-72
00:06:66:64:91:c8,32.7234311,-117.1079704,-92
00:06:66:69:b0:68,32.694595,-117.1752899,-79
00:06:66:f3:a8:51,33.3485977,-111.9117903,-62
00:06:66:64:91:da,33.0484872,-117.2849714,-84
00:06:66:6c:50:58,33.9350783,-117.4046317,-88
00:06:66:81:bc:fd,33.5199285,-117.6670307,-87
00:06:66:83:27:4d,33.3780285,-112.082234,-86
