0.0,-84
11.587999999523163,-82
20.845999999903142,-82
37.075999999418855,-84
52.82799999974668,-52
63.92999999970198,-54
79.4550000000745,-64
90.3999999994412,-71
105.9550000000745,-58
116.35300000011921,-49
132.1609999993816,-55
143.19199999980628,-64
158.86099999956787,-65
170.125,-68
185.7519999993965,-71
192.61199999973178,-52
211.35900000017136,-77
231.9449999993667,-70
242.39599999971688,-89
258.09899999946356,-60
268.6279999995604,-62
284.35900000017136,-68
297.53099999949336,-62
304.62999999988824,-49
320.08600000012666,-53
328.9349999995902,-44
340.0800000000745,-37
355.90199999976903,-50
366.51999999955297,-52
